group,variable,value
Los Angeles Azules,13:50,0
Los Angeles Azules,14:00,0
Los Angeles Azules,14:10,0
Los Angeles Azules,14:20,0
Los Angeles Azules,14:30,0
Los Angeles Azules,14:40,0
Los Angeles Azules,14:50,0
Los Angeles Azules,15:00,0
Los Angeles Azules,15:10,0
Los Angeles Azules,15:20,40
Los Angeles Azules,15:30,100
Los Angeles Azules,15:40,100
Los Angeles Azules,15:50,40
Los Angeles Azules,16:00,40
Los Angeles Azules,16:10,40
Los Angeles Azules,16:20,0
Los Angeles Azules,16:30,0
Los Angeles Azules,16:40,0
Los Angeles Azules,16:50,0
Los Angeles Azules,17:00,0
Los Angeles Azules,17:10,0
Los Angeles Azules,17:20,0
Los Angeles Azules,17:30,0
Los Angeles Azules,17:40,0
Los Angeles Azules,17:50,0
Los Angeles Azules,18:00,0
Los Angeles Azules,18:10,0
Los Angeles Azules,18:20,0
Los Angeles Azules,18:30,0
Los Angeles Azules,18:40,0
Los Angeles Azules,18:50,0
Los Angeles Azules,19:00,0
Skip Markley,12:30,0
Skip Markley,12:40,0
Skip Markley,12:50,0
Skip Markley,13:00,0
Skip Markley,13:10,0
Skip Markley,13:20,0
Skip Markley,13:30,0
Skip Markley,13:40,0
Skip Markley,13:50,0
Skip Markley,14:00,0
Skip Markley,14:10,0
Skip Markley,14:20,0
Skip Markley,14:30,0
Skip Markley,14:40,0
Skip Markley,14:50,0
Skip Markley,15:00,0
Skip Markley,15:10,0
Skip Markley,15:20,0
Skip Markley,15:30,0
Skip Markley,15:40,0
Skip Markley,15:50,100
Skip Markley,16:00,100
Skip Markley,16:10,100
Skip Markley,16:20,100
Skip Markley,16:30,0
Skip Markley,16:40,0
Skip Markley,16:50,0
Skip Markley,17:00,0
Skip Markley,17:10,0
Skip Markley,17:20,0
Skip Markley,17:30,0
Skip Markley,17:40,0
Skip Markley,17:50,0
Skip Markley,18:00,0
Skip Markley,18:10,0
Skip Markley,18:20,0
Skip Markley,18:30,0
Skip Markley,18:40,0
Skip Markley,18:50,0
Skip Markley,19:00,0
PVRIS,12:30,0
PVRIS,12:40,0
PVRIS,12:50,0
PVRIS,13:00,0
PVRIS,13:10,0
PVRIS,13:20,0
PVRIS,13:30,0
PVRIS,13:40,0
PVRIS,13:50,0
PVRIS,14:00,0
PVRIS,14:10,0
PVRIS,14:20,0
PVRIS,14:30,0
PVRIS,14:40,0
PVRIS,14:50,0
PVRIS,15:00,0
PVRIS,15:10,0
PVRIS,15:20,0
PVRIS,15:30,0
PVRIS,15:40,40
PVRIS,15:50,40
PVRIS,16:00,40
PVRIS,16:10,40
PVRIS,16:20,40
PVRIS,16:30,100
PVRIS,16:40,0
PVRIS,16:50,0
PVRIS,17:00,0
PVRIS,17:10,0
PVRIS,17:20,0
PVRIS,17:30,0
PVRIS,17:40,0
PVRIS,17:50,0
PVRIS,18:00,0
PVRIS,18:10,0
PVRIS,18:20,0
PVRIS,18:30,0
PVRIS,18:40,0
PVRIS,18:50,0
PVRIS,19:00,0
Knox Fortune,12:30,0
Knox Fortune,12:40,0
Knox Fortune,12:50,0
Knox Fortune,13:00,0
Knox Fortune,13:10,0
Knox Fortune,13:20,0
Knox Fortune,13:30,0
Knox Fortune,13:40,0
Knox Fortune,13:50,0
Knox Fortune,14:00,0
Knox Fortune,14:10,0
Knox Fortune,14:20,0
Knox Fortune,14:30,0
Knox Fortune,14:40,80
Knox Fortune,14:50,80
Knox Fortune,15:00,80
Knox Fortune,15:10,80
Knox Fortune,15:20,80
Knox Fortune,15:30,0
Knox Fortune,15:40,0
Knox Fortune,15:50,0
Knox Fortune,16:00,0
Knox Fortune,16:10,0
Knox Fortune,16:20,0
Knox Fortune,16:30,0
Knox Fortune,16:40,0
Knox Fortune,16:50,0
Knox Fortune,17:00,0
Knox Fortune,17:10,0
Knox Fortune,17:20,0
Knox Fortune,17:30,0
Knox Fortune,17:40,0
Knox Fortune,17:50,0
Knox Fortune,18:00,0
Knox Fortune,18:10,0
Knox Fortune,18:20,0
Knox Fortune,18:30,0
Knox Fortune,18:40,0
Knox Fortune,18:50,0
Knox Fortune,19:00,0
Moses Sumney,12:30,0
Moses Sumney,12:40,0
Moses Sumney,12:50,0
Moses Sumney,13:00,0
Moses Sumney,13:10,0
Moses Sumney,13:20,0
Moses Sumney,13:30,0
Moses Sumney,13:40,0
Moses Sumney,13:50,0
Moses Sumney,14:00,0
Moses Sumney,14:10,0
Moses Sumney,14:20,100
Moses Sumney,14:30,100
Moses Sumney,14:40,100
Moses Sumney,14:50,100
Moses Sumney,15:00,100
Moses Sumney,15:10,100
Moses Sumney,15:20,100
Moses Sumney,15:30,0
Moses Sumney,15:40,0
Moses Sumney,15:50,0
Moses Sumney,16:00,0
Moses Sumney,16:10,0
Moses Sumney,16:20,0
Moses Sumney,16:30,0
Moses Sumney,16:40,0
Moses Sumney,16:50,0
Moses Sumney,17:00,0
Moses Sumney,17:10,0
Moses Sumney,17:20,0
Moses Sumney,17:30,0
Moses Sumney,17:40,0
Moses Sumney,17:50,0
Moses Sumney,18:00,0
Moses Sumney,18:10,0
Moses Sumney,18:20,0
Moses Sumney,18:30,0
Moses Sumney,18:40,0
Moses Sumney,18:50,0
Moses Sumney,19:00,0
JustPudge,12:30,0
JustPudge,12:40,0
JustPudge,12:50,0
JustPudge,13:00,0
JustPudge,13:10,0
JustPudge,13:20,0
JustPudge,13:30,100
JustPudge,13:40,100
JustPudge,13:50,100
JustPudge,14:00,100
JustPudge,14:10,100
JustPudge,14:20,60
JustPudge,14:30,0
JustPudge,14:40,0
JustPudge,14:50,0
JustPudge,15:00,0
JustPudge,15:10,0
JustPudge,15:20,0
JustPudge,15:30,0
JustPudge,15:40,0
JustPudge,15:50,0
JustPudge,16:00,0
JustPudge,16:10,0
JustPudge,16:20,0
JustPudge,16:30,0
JustPudge,16:40,0
JustPudge,16:50,0
JustPudge,17:00,0
JustPudge,17:10,0
JustPudge,17:20,0
JustPudge,17:30,0
JustPudge,17:40,0
JustPudge,17:50,0
JustPudge,18:00,0
JustPudge,18:10,0
JustPudge,18:20,0
JustPudge,18:30,0
JustPudge,18:40,0
JustPudge,18:50,0
JustPudge,19:00,0
Benjamin Clementine,12:30,0
Benjamin Clementine,12:40,0
Benjamin Clementine,12:50,0
Benjamin Clementine,13:00,0
Benjamin Clementine,13:10,0
Benjamin Clementine,13:20,0
Benjamin Clementine,13:30,10
Benjamin Clementine,13:40,10
Benjamin Clementine,13:50,10
Benjamin Clementine,14:00,10
Benjamin Clementine,14:10,10
Benjamin Clementine,14:20,0
Benjamin Clementine,14:30,0
Benjamin Clementine,14:40,0
Benjamin Clementine,14:50,0
Benjamin Clementine,15:00,0
Benjamin Clementine,15:10,0
Benjamin Clementine,15:20,0
Benjamin Clementine,15:30,0
Benjamin Clementine,15:40,0
Benjamin Clementine,15:50,0
Benjamin Clementine,16:00,0
